created_at,owner_id,owner_type,owner_name,id,name,visibility,readable_size,raw_size,collaborators,fork?,deleted?
2015-06-30 17:52:16 UTC,53,Organization,EC-ProxyVoting,337,ETL.CSV.Validator,public,168KB,168,0,false,false
2015-06-30 18:50:16 UTC,113,Organization,ETS,338,CheckWMI_PS_Scripts,public,96KB,96,0,false,false
2015-07-02 17:47:28 UTC,56,Organization,Trade-Efficiencies-Findur,350,OTPP.Findur.OpenComponent.OTPP130_OTC_CalculateClearingBookingFee,public,208KB,208,0,false,false
2015-07-03 14:55:23 UTC,113,Organization,ETS,359,IIS_SVC_Compare_PS_Script,public,104KB,104,0,false,false
2015-07-03 19:30:17 UTC,44,Organization,TE-BI-Continuous-Integration-Framework,360,PowerDoc-AngularApp,public,488KB,488,0,false,false
2015-07-03 20:34:36 UTC,137,Organization,EC-IRM,361,LotusNotes.Extract.Service,public,904KB,904,0,false,false
2015-07-06 18:02:02 UTC,65,Organization,BOR-CashReplacement,362,quantum-edfasst-wcfservice,public,624KB,624,0,false,false
2015-07-07 22:25:19 UTC,57,Organization,Trade-Efficiencies-CRD,363,OTPP.CRD.Customization.CRDRestrictions,public,36.57MB,36568,0,false,false
2015-07-08 14:14:19 UTC,57,Organization,Trade-Efficiencies-CRD,364,OTPP.CRD.Customization.SendToPostTradeAcct,public,120KB,120,0,false,false
2015-07-08 15:36:22 UTC,57,Organization,Trade-Efficiencies-CRD,367,OTPP.CRD.Customization.OptionsExpiry,public,5.41MB,5408,0,false,false
2015-07-08 15:37:04 UTC,57,Organization,Trade-Efficiencies-CRD,368,OTPP.CRD.Customization.SendToAccounting,public,140KB,140,0,false,false
2015-07-08 15:38:32 UTC,57,Organization,Trade-Efficiencies-CRD,370,OTPP.CRD.Customization.OTPP.Crd.Workflow,public,120KB,120,0,false,false
2015-07-08 15:39:53 UTC,57,Organization,Trade-Efficiencies-CRD,371,OTPP.CRD.Customization.Options_Expiry_Blotter_Button,public,260KB,260,0,false,false
2015-07-08 16:59:41 UTC,38,Organization,EC-PORTAL-8,374,Transaction-Form-Widget,public,708KB,708,0,false,false
2015-07-09 17:21:47 UTC,57,Organization,Trade-Efficiencies-CRD,375,OTPP.CRD.TIBCO.CRDOutboundSES,public,352KB,352,0,false,false
2015-07-10 01:16:31 UTC,56,Organization,Trade-Efficiencies-Findur,377,OTPP.Findur.STP.TIBCO.CanDealXSLTTransformer,public,280KB,280,0,false,false
2015-07-10 11:26:49 UTC,38,Organization,EC-PORTAL-8,378,Generic-Grid-Widget,public,13.59MB,13588,0,false,false
2015-07-10 14:32:33 UTC,56,Organization,Trade-Efficiencies-Findur,379,OTPP.Findur.STP.OpenComponents.OTPP152_ImportSwaps,public,1.38MB,1376,0,false,false
2015-07-10 14:38:10 UTC,106,Organization,TF-InvestmentsPortal-Core,380,EventModule-Windows-Service,public,740KB,740,0,false,false
2015-07-10 14:39:32 UTC,5,User,digiacm,381,WepAPI-Boilerplate,public,96KB,96,0,false,false
2015-07-14 17:00:19 UTC,106,Organization,TF-InvestmentsPortal-Core,382,Testing-Database-TimeMinus30Days,public,212KB,212,0,false,false
2015-07-15 14:07:40 UTC,38,Organization,EC-PORTAL-8,383,TreeViewerWidget,public,192KB,192,0,false,false
2015-07-18 01:12:43 UTC,139,Organization,Trade-Efficiencies-RepoManager,385,OTPP.RepoManager.Service.TIBCO.RepoMaturityNotification,public,224KB,224,0,false,false
2015-07-18 16:10:41 UTC,139,Organization,Trade-Efficiencies-RepoManager,386,OTPP.RepoManager.Service.TIBCO.RepoManagementService,public,364KB,364,0,false,false
2015-07-20 14:32:39 UTC,57,Organization,Trade-Efficiencies-CRD,389,OTPP.CRD.Customization.CRDBulkUploadAddIn,public,360KB,360,0,false,false
2015-07-22 16:40:29 UTC,56,Organization,Trade-Efficiencies-Findur,391,OTPP.Findur.OpenComponent.OTPP07_CashManagementExport,public,108KB,108,0,false,false
2015-07-24 15:30:06 UTC,141,Organization,BOR-Utilities,392,BOR-AD-Explorer,public,14.67MB,14669,0,false,false
2015-07-24 18:00:39 UTC,56,Organization,Trade-Efficiencies-Findur,393,OTPP.Findur.STP.Bloomberg.Repo.VCON,public,132KB,132,0,false,false
2015-07-27 12:47:28 UTC,98,User,khalilm,394,OntoComAPI,public,23.46MB,23460,0,true,false
2015-07-28 20:59:04 UTC,65,Organization,BOR-CashReplacement,395,QuantumStaging,public,2.74MB,2744,0,false,false
2015-07-29 10:56:12 UTC,61,Organization,DevOps,396,Jenkins_Sanity_Test,public,16.91MB,16908,0,false,false
2015-07-29 17:46:06 UTC,65,Organization,BOR-CashReplacement,397,QuantumStagingUI,public,232KB,232,0,false,false
2015-07-29 21:06:58 UTC,66,User,huk,398,BOR-AD-Explorer,public,9.41MB,9414,0,true,false
2015-07-30 14:56:21 UTC,115,User,liubr,399,NewSite_and_AppPool_PS_Script,public,116KB,116,0,false,false
2015-07-31 12:53:56 UTC,53,Organization,EC-ProxyVoting,401,GlassLewisImportService,public,164KB,164,0,false,false
2015-08-04 01:38:13 UTC,36,User,zhangch,402,JiraAddIn,public,244KB,244,0,false,false
2015-08-04 16:21:38 UTC,36,User,zhangch,403,JiraIntegration,public,124KB,124,0,false,false
2015-08-04 19:13:55 UTC,143,User,jeanw,406,test,public,96KB,96,0,false,false
2015-08-05 14:30:31 UTC,137,Organization,EC-IRM,408,eFront.Loader.Service,public,28.79MB,28792,0,false,false
2015-08-05 15:54:59 UTC,137,Organization,EC-IRM,409,SandPCapitalFacade,public,644KB,644,0,false,false
2015-08-05 17:17:13 UTC,56,Organization,Trade-Efficiencies-Findur,411,OTPP.Findur.STP.TIBCO.Bloomberg.Mapper,public,224KB,224,0,false,false
2015-08-07 14:39:03 UTC,43,Organization,EC-ACE,412,ExchangeCalendarsService,public,4.26MB,4256,0,false,false
2015-08-07 15:02:25 UTC,113,Organization,ETS,414,RSR_Deploy_PS_Script,public,199KB,199,0,false,false
2015-08-10 12:56:49 UTC,137,Organization,EC-IRM,415,eFront.Listener.Service,public,5.42MB,5416,0,false,false
2015-08-11 18:10:28 UTC,141,Organization,BOR-Utilities,416,ServerSudokuTraining,private,1.56MB,1560,0,false,false
2015-08-13 19:01:21 UTC,61,Organization,DevOps,420,Jira-Import-Script,public,120KB,120,0,false,false
2015-08-14 17:16:56 UTC,38,Organization,EC-PORTAL-8,421,MyFavouriteReports,public,148KB,148,0,false,false
2015-08-14 17:24:41 UTC,38,Organization,EC-PORTAL-8,422,ReportSet,public,720KB,720,0,false,false
2015-08-17 14:18:16 UTC,144,User,gutierg,423,AxiomaticsService,public,0KB,0,0,false,false
2015-08-17 14:49:10 UTC,56,Organization,Trade-Efficiencies-Findur,425,OTPP.Findur.STP.OpenComponents.OTPP152_ImportCDS,public,168KB,168,0,false,false
2015-08-17 15:51:21 UTC,113,Organization,ETS,426,Remote_Access_Admin_PS_Script,public,104KB,104,0,false,false
2015-08-17 18:18:27 UTC,113,Organization,ETS,427,Services_and_IIS_Validation_PS_Script,public,128KB,128,0,false,false
2015-08-20 19:20:57 UTC,56,Organization,Trade-Efficiencies-Findur,430,OTPP.Findur.OpenComponent.OTPP132_ClearingAndBookingFee,public,124KB,124,0,false,false
2015-08-21 15:59:59 UTC,101,Organization,EDP-EDW,431,Utilities,public,272KB,272,0,false,false
2015-08-21 18:07:56 UTC,141,Organization,BOR-Utilities,432,Process-Launcher,public,7.48MB,7484,0,false,false
2015-08-21 19:18:40 UTC,101,Organization,EDP-EDW,433,EDW-Monitor,public,8.32MB,8320,0,false,false
2015-08-24 17:09:11 UTC,144,User,gutierg,434,AccessControl,public,108KB,108,0,false,false
